utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,IsFullTracking,SvPositionEcefXMeters,SvPositionEcefYMeters,SvPositionEcefZMeters,SvVelocityEcefXMetersPerSecond,SvVelocityEcefYMetersPerSecond,SvVelocityEcefZMetersPerSecond,SvClockBiasMeters,SvClockDriftMetersPerSecond,KlobucharAlpha0,KlobucharAlpha1,KlobucharAlpha2,KlobucharAlpha3,KlobucharBeta0,KlobucharBeta1,KlobucharBeta2,KlobucharBeta3
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,5,0.0,16399,130558343469233,7,40.6,520.0952758789062,0.013205490075051785,16,0.0,0.0,1575420000,,,,0,,1,-58.48,37.0,0.0,0.0,,,C,11070892626051,1,-1788577.729655725,17554668.471720867,19668783.177134898,-1789.849005088964,-1792.30486424312,1428.3434876986473,-68865.8519904272,-0.0006879167194711044,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,11,0.0,16399,130558333902115,9,39.4,236.0994873046875,0.011309193447232246,16,0.0,0.0,1575420000,,,,0,,1,-58.48,35.8,0.0,0.0,,,C,11070892626051,1,-18681608.30470346,12407149.387069672,14226703.066637585,-1811.6596356612436,26.26275149680133,-2417.754223155037,-126273.75089162706,0.003881133918184787,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,12,0.0,16399,130558341966999,4,47.1,566.0520629882812,0.014093231409788132,16,0.0,0.0,1575420000,,,,0,,1,-58.48,43.5,0.0,0.0,,,C,11070892626051,1,6606066.8289927915,23061869.246381916,-11700491.84468668,-1037.1536063207238,-1027.7200608889389,-2677.9661946828464,-182195.88920092364,0.0004163901903666556,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,13,0.0,16399,130558342866255,7,40.6,-138.2841796875,0.014705490320920944,16,0.0,0.0,1575420000,,,,0,,1,-58.48,37.0,0.0,0.0,,,C,11070892626051,1,-13460028.172475293,22662645.539605606,1474414.802146558,-119.59531545454445,-316.69070940081326,3219.4741498509284,205353.65153972295,-0.0010194249916821718,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,15,0.0,16399,130558346232296,8,40.5,-364.5845642089844,0.009200253523886204,16,0.0,0.0,1575420000,,,,0,,1,-58.48,36.9,0.0,0.0,,,C,11070892626051,1,-1677700.9386927136,26228938.594461903,-4150181.230375722,-410.49175451118106,396.17870201617563,3079.34203726598,117104.81913458082,0.001200410828460008,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,18,0.0,16399,130558335730385,9,38.8,-158.44635009765625,0.014309193938970566,16,0.0,0.0,1575420000,,,,0,,1,-58.48,35.199999999999996,0.0,0.0,,,C,11070892626051,1,21772826.062598947,6343308.457723629,14091516.375547806,-1721.0276664775888,438.88312295477357,2444.5198094355133,-123548.22434010997,0.003385820411494933,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,21,0.0,16399,130558336195530,7,40.6,638.8224487304688,0.014705490320920944,16,0.0,0.0,1575420000,,,,0,,1,-58.48,37.0,0.0,0.0,,,C,11070892626051,1,-10837714.114856884,10704549.282303434,21765555.55257415,-1744.5097563132958,-2140.345809889717,187.3053948843838,121276.6638800764,0.0012820804258808494,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,23,0.0,16399,130558340874943,6,42.6,-386.04266357421875,0.01679208129644394,16,0.0,0.0,1575420000,,,,0,,1,-58.48,39.0,0.0,0.0,,,C,11070892626051,1,20058276.491605707,16296852.617667612,-6634760.2782822205,429.95270314043427,745.3280434854398,3069.3097297702852,185582.01662019241,0.0018530027009546757,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,24,0.0,16399,130558332591666,17,31.6,-86.88468933105469,0.020294373854994774,16,0.0,0.0,1575420000,,,,0,,1,-58.48,28.0,0.0,0.0,,,C,11070892626051,1,,,,,,,,,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,25,0.0,16399,130558345037392,5,49.8,247.55548095703125,0.007503320463001728,16,0.0,0.0,1575420000,,,,0,,1,-58.48,46.199999999999996,0.0,0.0,,,C,11070892626051,1,17226614.37583586,20393638.41120025,-768171.0142094012,-260.55060985733337,161.44690997665634,-3127.3155756983565,131915.96581560653,-0.00023806057288311422,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,29,0.0,16399,130558343837387,4,47.9,-450.6217346191406,0.01090293750166893,16,0.0,0.0,1575420000,,,,0,,1,-58.48,44.3,0.0,0.0,,,C,11070892626051,1,7453347.576787685,16423744.901757743,19405302.436880622,-1140.20477461414,2203.9214287015866,-1438.7862121438782,-109829.19617745357,0.001786171502317302,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,194,0.0,16399,130558291256828,11,36.6,75.05939483642578,0.009698336943984032,16,0.0,0.0,1575420000,,,,0,,4,-58.48,33.0,0.0,0.0,,,C,11070892626051,1,,,,,,,,,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,195,0.0,16399,130558277436892,13,34.8,-189.61050415039062,0.020391952246427536,16,0.0,0.0,1575420000,,,,0,,4,-58.48,31.199999999999996,0.0,0.0,,,C,11070892626051,1,,,,,,,,,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,18,0.0,49359,54940342824625,13,35.7,-62.00539779663086,0.018761416897177696,16,0.0,0.0,1600312400,,,,0,,3,-51.81,31.700000000000003,4879.65771484375,2.076091448465983,,,C,11070892626051,1,-9428472.629668392,14403397.742990596,18857716.41245771,-2248.454982625999,1270.4620901702535,-2091.0854922745484,74849.45035300257,0.0005453193043649662,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,9,0.0,49359,54940340976119,16,33.1,-23.49899673461914,0.027676178142428398,16,0.0,0.0,1600875000,,,,0,,3,-51.81,29.1,4879.65771484375,2.076091448465983,,,C,11070892626051,1,22348711.251961883,7154747.140735629,9909300.297765983,1219.8974022598893,597.9412424817451,-3197.020499119919,93330.20815047433,0.0005453193043649662,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,16,0.0,49359,54940343932347,11,37.1,486.82440185546875,0.015589513815939426,16,0.0,0.0,1601437400,,,,0,,3,-51.81,33.1,4879.65771484375,2.076091448465983,,,C,11070892626051,1,18268576.447072122,15873435.566673653,-7993287.3829342425,-844.6918140964565,-717.4992318952632,-3356.5063855092694,13755.518038092181,0.0,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,5,0.0,49359,54940343771967,11,37.7,-735.4563598632812,0.015584887936711311,16,0.0,0.0,1602562600,,,,0,,3,-51.81,33.7,4879.65771484375,2.076091448465983,,,C,11070892626051,1,,,,,,,,,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,19,0.0,49359,54940341225956,11,37.8,-223.0025177001953,0.018580269068479538,16,0.0,0.0,1603687600,,,,0,,3,-51.81,33.8,4879.65771484375,2.076091448465983,,,C,11070892626051,1,8674584.547952497,7884239.111729328,22653567.99214626,-2802.9504554789655,1329.4534752325285,605.7523516796131,10854.336636393655,0.0005453193043649662,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,3,0.0,49359,54940345203187,14,34.7,474.3383483886719,0.01532173901796341,16,0.0,0.0,1604812500,,,,0,,3,-51.81,30.700000000000003,4879.65771484375,2.076091448465983,,,C,11070892626051,1,-8387542.449058698,17501560.593089487,16640692.489283942,233.86085953457427,-2258.678743921405,2496.2567829414334,41908.73312756768,0.0002726596521824831,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,4,0.0,49359,54940351230072,11,37.8,-212.9526824951172,0.009573351591825485,16,0.0,0.0,1605375000,,,,0,,3,-51.81,33.8,4879.65771484375,2.076091448465983,,,C,11070892626051,1,-1912968.4876016926,25416882.705723222,1207378.815972279,228.82192499598,-148.31360949951153,3590.8037570481774,102177.61915386848,0.0008179789565474493,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,7,0.0,17423,130558330622987,7,41.4,-402.6844482421875,0.03570549190044403,16,0.0,0.0,1575420000,,,,0,,6,-61.86,37.1,1.1020395755767822,2.0427462259928384,,,C,11070892626051,1,-2395754.2726584747,25261655.82947769,-15219685.317892447,-709.805242885607,1354.587091305009,2360.4371155812632,-14455.80170752814,-0.0007540235947089968,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,8,0.0,17423,130558330949702,13,35.8,-123.73137664794922,0.03989195451140404,16,0.0,0.0,1575420000,,,,0,,6,-61.86,31.499999999999996,1.1020395755767822,2.0427462259928384,,,C,11070892626051,1,-16259842.659043446,24581009.908158273,2644388.0294773304,211.88442255348195,-184.14426738795427,3016.777577427841,-30358.779084860187,-0.0021007203358749393,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,13,0.0,17423,130558331831436,8,40.6,123.78352355957031,0.04070025682449341,16,0.0,0.0,1575420000,,,,0,,6,-61.86,36.300000000000004,1.1020395755767822,2.0427462259928384,,,C,11070892626051,1,5263461.459835176,15798310.07381616,24476198.780372582,-2458.2619352530346,-49.72508617665659,562.358110643672,-14834.322480403593,-0.00022874934256833512,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,15,0.0,17423,130558324833513,8,40.3,187.1750946044922,0.039200253784656525,16,0.0,0.0,1575420000,,,,0,,6,-61.86,36.0,1.1020395755767822,2.0427462259928384,,,C,11070892626051,1,-17268452.107904006,12929000.460864471,20285676.564678565,-2037.252890112244,85.38898690178601,-1787.8896009901227,-71888.93975649045,-0.0008165383333107457,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,21,0.0,17423,130558334267453,4,46.8,-68.00503540039062,0.03380255401134491,16,0.0,0.0,1575420000,,,,0,,6,-61.86,42.5,1.1020395755767822,2.0427462259928384,,,C,11070892626051,1,19486266.791481934,19862973.591045924,10092504.137489349,549.4215599910431,852.8179934354456,-2736.6592975029525,-217433.67148859167,-0.0007913471781648695,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,26,0.0,17423,130558328415525,7,41.7,-21.925710678100586,0.0387054905295372,16,0.0,0.0,1575420000,,,,0,,6,-61.86,37.400000000000006,1.1020395755767822,2.0427462259928384,,,C,11070892626051,1,24320241.15415998,9310633.66797511,14069020.355948536,-1411.7502845960298,-131.1491017578225,2529.6660032189566,70540.96636109753,0.0032465349067933857,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,27,0.0,17423,130558334235643,4,46.8,396.62152099609375,0.03380255401134491,16,0.0,0.0,1575420000,,,,0,,6,-61.86,42.5,1.1020395755767822,2.0427462259928384,,,C,11070892626051,1,8395955.805192098,27001105.484140024,-8780322.764904462,-388.9442230621526,-790.805396351793,-2804.9595295066247,-276439.9605144046,-0.0031074395519681275,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,30,0.0,17423,130558322790579,8,40.8,548.355224609375,0.036200255155563354,16,0.0,0.0,1575420000,,,,0,,6,-61.86,36.5,1.1020395755767822,2.0427462259928384,,,C,11070892626051,1,-7063905.554434008,18633863.8011947,-21909242.085937556,-1065.9153158252689,-1917.1681801312511,-1286.7587406206678,-236857.7139902698,-0.01205395336728543,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,21,0.0,16399,130544331814133,4,36.0,536.3739013671875,0.05280868336558342,16,0.0,0.0,1575420000,,,,0,,5,-61.86,29.0,-484.8300476074219,10.909557342529297,,,P,11070892626051,1,-12318143.262133535,13422188.599142304,21141164.192207247,-339.0261370897108,-2387.4812220557405,1322.4470173027403,-261745.2152252489,0.0010946800466626883,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,23,0.0,16399,130544331525333,3,39.1,105.41664123535156,0.0494975708425045,16,0.0,0.0,1575420000,,,,0,,5,-61.86,32.1,-484.8300476074219,10.909557342529297,,,P,11070892626051,1,26474472.51067271,8400469.326666506,2741463.428865313,225.49259774755114,282.0818997631997,-3038.8996067504327,-145225.88916880437,0.001606750418432057,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
1772453740416,806351000000,18,0.0,-1456488152065337057,-0.8885078430175781,4.873017132922541,42.36097573074256,3.126661571574916,0,25,0.0,16399,130544335141866,3,39.4,335.2661437988281,0.04349757358431816,16,0.0,0.0,1575420000,,,,0,,5,-61.86,32.4,-484.8300476074219,10.909557342529297,,,P,11070892626051,1,17844685.33245905,16865884.400076747,-13299018.453288687,-1471.6873098686278,-397.5272753477875,-2480.030028732543,278190.0712217047,-0.0028067437815479934,0.000000020489096641540527,0.0,-0.00000011920928955078125,0.00000011920928955078125,129024.0,-32768.0,-65536.0,-327680.0
